Ingredient,Value
chicken,5294
cinnamon,5603
soy_sauce,3236
onion,18031
ginger,3816
cane_molasses,7655
cumin,3220
garlic,16893
tamarind,1663
bread,4553
coriander,1514
vinegar,7695
beef,4822
cayenne,7950
parsley,5562
wheat_bread,83
yogurt,1044
vegetable_oil,10759
egg,20951
butter,20744
pepper,9060
cardamom,368
cottage_cheese,348
brassica,109
olive_oil,9844
wheat,20782
rice,3395
leek,411
honey,2483
yeast,3397
tomato,9909
cilantro,2249
lemon_juice,5033
scallion,4342
cassava,22
potato,3545
black_pepper,9752
carrot,3570
cabbage,938
turmeric,1233
fenugreek,871
banana,984
coconut,1710
pumpkin,803
lamb,472
bay,1472
fennel,907
zucchini,1093
beef_broth,835
bell_pepper,5847
meat,970
apricot,620
basil,3779
starch,2585
vanilla,9025
milk,12895
olive,1797
caraway,230
red_wine,1393
cod,174
raisin,1903
almond,2320
white_bread,370
vegetable,1660
brown_rice,337
peanut_butter,995
bean,1903
nutmeg,2512
rosemary,1890
chicken_broth,3454
green_bell_pepper,2578
chickpea,404
roasted_peanut,165
sweet_potato,518
thyme,3041
mushroom,3317
peanut_oil,210
seed,1313
shrimp,1543
pear,468
rutabaga,34
parsnip,139
celery,3603
fish,1879
date,375
lard,3052
lentil,250
rose,63
walnut,2741
macaroni,3074
lemon,3046
roasted_sesame_seed,593
cucumber,1810
mint,932
plum,277
turnip,183
mustard,4096
salmon,434
lime_juice,1427
lime,1083
saffron,236
parmesan_cheese,3167
pea,1099
orange_juice,1700
feta_cheese,621
thai_pepper,87
chervil,52
cheese,3282
cauliflower,325
broccoli,901
oregano,3179
squash,558
orange_flower,18
nut,1219
pistachio,219
corn,4777
cream,10152
peach,528
whole_grain_wheat_flour,732
cream_cheese,2839
sesame_seed,655
anise,223
goat_cheese,259
radish,509
orange,1709
cranberry,916
kidney_bean,442
pimento,270
hazelnut,288
pecan,2176
smoke,456
apple,2418
milk_fat,947
mace,115
anise_seed,84
white_wine,2166
grape_juice,811
currant,241
orange_peel,572
wine,877
soybean,1034
gelatin,1410
brandy,395
peppermint_oil,9
haddock,31
sherry,630
roasted_beef,222
lima_bean,149
fruit,481
barley,232
lemon_peel,715
kumquat,28
rye_flour,130
shallot,1187
beet,232
pineapple,1616
condiment,9
lime_peel_oil,100
cocoa,4801
yam,84
juniper_berry,33
bone_oil,49
veal,198
quince,28
flower,30
fig,139
dill,1108
marjoram,528
turkey,893
coffee,716
cider,1120
mussel,163
chive,1315
artichoke,391
lobster,126
prawn,26
okra,100
citrus,163
star_anise,91
pork,1964
peanut,453
papaya,46
octopus,45
lemongrass,137
rum,602
sunflower_oil,8
lettuce,1152
sage,903
tabasco_pepper,965
pork_sausage,1362
passion_fruit,20
squid,228
black_bean,474
avocado,649
mango,388
tuna,443
bacon,2156
sesame_oil,1341
matsutake,56
sake,624
seaweed,188
chinese_cabbage,161
kelp,178
eel,20
nira,66
shiitake,511
black_sesame_seed,26
oyster,356
shellfish,27
watercress,132
celery_oil,994
maple_syrup,471
ham,1291
sour_cherry,48
asparagus,438
bitter_orange,83
scallop,268
root,74
kale,96
clam,461
mandarin,278
tarragon,476
egg_noodle,308
melon,157
katsuobushi,49
tangerine,44
liver,41
buckwheat,69
tea,101
black_tea,38
malt,37
palm,38
cognac,66
gruyere_cheese,44
savory,127
oatmeal,60
champagne_wine,99
crab,550
green_tea,32
mandarin_peel,10
wasabi,103
horseradish,387
caviar,26
salmon_roe,13
beer,303
endive,114
beech,1
kohlrabi,6
brussels_sprout,91
litchi,9
raspberry,784
grapefruit,117
smoked_salmon,97
gin,68
cashew,199
roasted_pork,125
cheddar_cheese,3029
licorice,20
corn_flake,225
cherry,1084
enokidake,106
mackerel,44
chicory,153
red_bean,33
japanese_plum,13
mung_bean,19
beef_liver,10
artemisia,13
kiwi,105
strawberry,1078
watermelon,108
gardenia,9
citrus_peel,4
frankfurter,37
sea_algae,4
red_algae,2
grape,345
raw_beef,2
mozzarella_cheese,1290
sauerkraut,184
smoked_sausage,268
lovage,142
cherry_brandy,34
porcini,106
black_currant,11
blackberry,169
chicken_liver,51
rye_bread,91
corn_grit,162
buttermilk,1633
tomato_juice,176
whiskey,148
cured_pork,314
swiss_cheese,522
violet,6
tequila,142
catfish,68
chayote,26
leaf,9
oat,1267
prickly_pear,20
guava,13
blue_cheese,395
cereal,204
romano_cheese,275
blueberry,465
red_kidney_bean,59
munster_cheese,27
baked_potato,9
popcorn,97
bourbon_whiskey,156
bartlett_pear,23
coconut_oil,17
roasted_meat,15
sour_milk,46
nectarine,50
port_wine,49
sumac,14
berry,182
clove,10
rhubarb,169
cabernet_sauvignon_wine,17
macadamia_nut,102
provolone_cheese,167
black_mustard_seed_oil,28
armagnac,11
roquefort_cheese,23
sassafras,18
peppermint,142
truffle,52
concord_grape,12
apple_brandy,37
lingonberry,9
lavender,62
bergamot,7
laurel,2
galanga,34
smoked_fish,6
potato_chip,65
pear_brandy,11
chamomile,3
black_raspberry,8
camembert_cheese,12
jasmine,7
wood,33
huckleberry,10
balm,3
herring,10
sturgeon_caviar,1
geranium,1
pelargonium,1
roasted_nut,1
spearmint,5
muscat_grape,1
roasted_pecan,1
cacao,35
carob,7
ouzo,9
roasted_hazelnut,1
mate,1
jasmine_tea,1
pork_liver,5
elderberry,5
lilac_flower_oil,1
roasted_almond,3
hop,3
angelica,1
blackberry_brandy,4
carnation,3
soybean_oil,2
mutton,3
holy_basil,2
durian,1
rapeseed,3
grape_brandy,8
pimenta,2
sheep_cheese,2
strawberry_jam,1
strawberry_juice,2
jamaican_rum,1
emmental_cheese,1
